"plot"	"dbh"	"height"	"sex"	"dead"	"dbh.c"
"1"	25.9	24.5	"female"	0	0.899999999999999
"6"	42.18	49	"male"	0	17.18
"1"	30.05	25.8	"male"	0	5.05
"1"	40.17	29.4	"female"	1	15.17
"1"	23.67	25	"female"	0	-1.33
"4"	20.94	34.7	"female"	0	-4.06
"1"	19.21	18.5	"male"	0	-5.79
"3"	8.54	23.3	"male"	0	-16.46
"5"	15.28	27.6	"female"	0	-9.72
"5"	13.73	25.3	"female"	0	-11.27
"1"	23.33	21.6	"female"	0	-1.67
"1"	35.63	29.5	"male"	0	10.63
"1"	11.34	11.8	"female"	0	-13.66
"1"	21.29	19.3	"female"	0	-3.71
"3"	23.55	28.2	"female"	0	-1.45
"2"	21.28	28.6	"female"	0	-3.72
"4"	39.5	47.8	"female"	0	14.5
"6"	12.07	22	"male"	0	-12.93
"5"	9.54	23.8	"male"	0	-15.46
"4"	39.3	46.9	"male"	0	14.3
"2"	46.88	43.1	"male"	0	21.88
"1"	9.84	10.2	"male"	0	-15.16
"4"	29.21	30.6	"male"	0	4.21
"3"	36.29	37	"female"	0	11.29
"5"	46.41	44.2	"male"	0	21.41
"1"	33.26	27.6	"female"	0	8.26
"5"	18.3	34.4	"female"	0	-6.7
"2"	45.51	48	"female"	0	20.51
"1"	10.52	8.7	"male"	0	-14.48
"5"	32.62	35.8	"male"	0	7.62
"3"	36.76	38.9	"female"	0	11.76
"1"	15.71	18	"female"	0	-9.29
"1"	27.06	26.2	"female"	0	2.06
"3"	36.78	41.6	"male"	0	11.78
"2"	23	30.1	"male"	0	-2
"5"	45.8	49.2	"female"	0	20.8
"2"	9.01	19.9	"female"	0	-15.99
"1"	15.79	18.6	"male"	0	-9.21
"1"	17.6	13.6	"female"	0	-7.4
"1"	22.85	22.1	"female"	0	-2.15
"4"	21.41	27.1	"female"	0	-3.59
"5"	42.28	46.1	"female"	0	17.28
"1"	42.73	28.7	"male"	0	17.73
"2"	19.52	29.2	"male"	0	-5.48
"1"	37.29	33.9	"female"	0	12.29
"1"	33.35	25.8	"female"	0	8.35
"3"	48.18	44.9	"male"	0	23.18
"2"	13.67	26.3	"female"	0	-11.33
"2"	37.18	38.3	"female"	0	12.18
"1"	30.08	23.7	"female"	0	5.08
"10"	29.64	24.8	"female"	0	4.64
"3"	16.51	21.6	"female"	0	-8.49
"6"	44.79	41.3	"female"	0	19.79
"3"	28.45	33.6	"male"	0	3.45
"3"	45.31	44.6	"male"	0	20.31
"1"	6.01	11.8	"male"	0	-18.99
"3"	39	37.9	"male"	1	14
"1"	17.91	16.8	"male"	0	-7.09
"1"	9.8	17	"female"	0	-15.2
"3"	19.35	20.1	"female"	0	-5.65
"1"	34.25	25.1	"female"	0	9.25
"5"	17.36	29.7	"male"	0	-7.64
"1"	24.61	20.7	"female"	0	-0.390000000000001
"7"	9.46	18.7	"male"	0	-15.54
"6"	34.2	42.3	"male"	0	9.2
"2"	43.04	42.9	"male"	0	18.04
"1"	25.16	24.7	"female"	0	0.16
"1"	27.97	28	"female"	0	2.97
"2"	27.67	31.7	"female"	0	2.67
"7"	26.28	29.5	"male"	0	1.28
"2"	16.61	27.8	"female"	0	-8.39
"1"	34.77	25.9	"female"	0	9.77
"1"	10.77	16	"male"	0	-14.23
"3"	37.06	42.5	"female"	0	12.06
"1"	48.1	37.6	"male"	0	23.1
"5"	21.3	31.1	"female"	0	-3.7
"1"	28.48	28.6	"female"	0	3.48
"1"	18.05	13.3	"female"	0	-6.95
"1"	29.84	31.4	"female"	0	4.84
"2"	18.24	23.7	"female"	0	-6.76
"5"	34.89	41.9	"male"	1	9.89
"4"	42.97	43.7	"female"	0	17.97
"2"	30.58	34.5	"male"	0	5.58
"7"	8.35	19.9	"female"	0	-16.65
"2"	43.35	40.6	"female"	0	18.35
"2"	18.38	28.4	"female"	0	-6.62
"1"	19.9	18.4	"male"	0	-5.1
"2"	32.75	35.5	"male"	0	7.75
"2"	25.82	30	"male"	0	0.82
"3"	26.35	31.2	"female"	0	1.35
"1"	7.38	17.4	"female"	0	-17.62
"1"	33.24	25.1	"female"	0	8.24
"1"	24.92	29.7	"female"	0	-0.0799999999999983
"1"	40.75	38.1	"female"	0	15.75
"1"	30.89	24.2	"female"	0	5.89
"1"	37.72	32.4	"male"	0	12.72
"1"	17.18	16.9	"male"	0	-7.82
"1"	12.94	19.6	"female"	0	-12.06
"5"	47.27	44.3	"male"	0	22.27
"1"	7.66	13.1	"male"	0	-17.34
"3"	37.95	41.5	"female"	0	12.95
"6"	18.52	33.7	"female"	0	-6.48
"1"	24.33	18.5	"female"	0	-0.670000000000002
"1"	37.29	29	"male"	0	12.29
"5"	38.47	43.4	"female"	0	13.47
"1"	47.66	39.3	"female"	1	22.66
"3"	23.16	29.1	"female"	0	-1.84
"1"	40.64	31.5	"female"	0	15.64
"2"	39.15	36.9	"male"	0	14.15
"1"	5.26	11.5	"female"	0	-19.74
"3"	27.69	38.5	"male"	0	2.69
"1"	14.57	11.2	"female"	0	-10.43
"3"	11.17	14.8	"male"	0	-13.83
"1"	27.94	20.4	"male"	0	2.94
"1"	48.63	40.1	"male"	0	23.63
"3"	15.67	27.3	"female"	0	-9.33
"2"	19.18	23.3	"female"	0	-5.82
"1"	11.15	8.1	"female"	0	-13.85
"4"	39.26	43.9	"male"	0	14.26
"1"	6.51	12.4	"female"	0	-18.49
"1"	31.62	27.6	"male"	1	6.62
"1"	45.79	37.7	"male"	0	20.79
"1"	23.48	21.4	"male"	0	-1.52
"1"	41.89	38	"male"	0	16.89
"1"	34.75	25	"male"	0	9.75
"6"	35.68	40	"female"	0	10.68
"6"	46.93	49.8	"male"	1	21.93
"2"	11.65	25	"female"	0	-13.35
"5"	29.52	42.8	"female"	0	4.52
"3"	23.84	32.9	"male"	0	-1.16
"1"	26.31	19.7	"male"	0	1.31
"1"	37.07	26.5	"male"	0	12.07
"5"	39.69	40.4	"female"	0	14.69
"4"	40.34	44	"female"	0	15.34
"1"	33.73	29.9	"female"	0	8.73
"1"	28.6	30.2	"male"	0	3.6
"3"	11.55	25.4	"female"	0	-13.45
"1"	33.46	23.8	"female"	0	8.46
"1"	16.76	15.9	"male"	0	-8.24
"2"	21.06	24.6	"female"	0	-3.94
"1"	19.45	22.9	"female"	0	-5.55
"2"	43.37	39.4	"female"	0	18.37
"4"	14.62	22.2	"female"	0	-10.38
"1"	11.86	13.1	"male"	0	-13.14
"2"	33.9	33.8	"male"	0	8.9
"7"	44.69	43.7	"male"	1	19.69
"2"	11.56	22.4	"male"	0	-13.44
"5"	23.24	34.2	"male"	0	-1.76
"2"	39.12	38.9	"male"	0	14.12
"6"	48.14	46.6	"female"	0	23.14
"2"	36.88	33.8	"male"	0	11.88
"3"	44.91	38.4	"female"	0	19.91
"1"	6.12	9.7	"female"	0	-18.88
"2"	49.84	43.7	"male"	0	24.84
"1"	39.33	27.5	"female"	0	14.33
"2"	14.82	25.6	"male"	0	-10.18
"4"	42.39	46.3	"female"	0	17.39
"3"	15.56	23.4	"female"	0	-9.44
"3"	48.92	47.5	"male"	1	23.92
"3"	27.57	34.9	"female"	0	2.57
"1"	8.3	15.7	"male"	0	-16.7
"5"	7.3	21	"male"	0	-17.7
"1"	43.58	32.1	"female"	0	18.58
"4"	46.87	48.8	"female"	0	21.87
"1"	9.09	17.1	"male"	0	-15.91
"10"	41.48	33.7	"male"	0	16.48
"6"	27.82	33.4	"male"	0	2.82
"5"	25.07	39.9	"female"	0	0.0700000000000003
"2"	35.34	39.7	"male"	0	10.34
"5"	7.6	27.1	"female"	0	-17.4
"2"	20.49	31.3	"female"	0	-4.51
"5"	29.49	35.9	"male"	0	4.49
"4"	14.69	29	"female"	0	-10.31
"6"	12.78	30.7	"female"	0	-12.22
"5"	13.66	25	"male"	0	-11.34
"3"	46.83	36	"male"	0	21.83
"1"	28.4	29	"female"	0	3.4
"7"	46.29	49.1	"male"	0	21.29
"1"	24.84	25.3	"female"	0	-0.16
"2"	28.81	33.9	"male"	0	3.81
"1"	16.77	16.5	"female"	0	-8.23
"2"	10.62	17	"female"	0	-14.38
"5"	40.48	44.6	"female"	0	15.48
"5"	30.34	37.2	"female"	0	5.34
"1"	5.73	15	"male"	0	-19.27
"2"	17.54	29.4	"male"	0	-7.46
"4"	34.43	44.8	"female"	0	9.43
"1"	37.23	30.5	"female"	1	12.23
"1"	29.4	27.6	"male"	0	4.4
"7"	44.12	44	"male"	0	19.12
"3"	40.91	40.9	"male"	0	15.91
"2"	19.73	28.1	"male"	0	-5.27
"2"	5.63	19.1	"male"	0	-19.37
"1"	36.86	30	"female"	0	11.86
"2"	49.63	43.8	"female"	0	24.63
"1"	20.22	19.4	"male"	0	-4.78
"6"	43.26	51.5	"female"	0	18.26
"1"	38.54	34.5	"male"	0	13.54
"10"	14.54	14.2	"male"	0	-10.46
"2"	49.59	42.2	"female"	0	24.59
"2"	7.42	19.7	"male"	0	-17.58
"4"	30.42	37.8	"male"	0	5.42
"2"	11.95	21.8	"female"	0	-13.05
"1"	31.25	26.9	"male"	1	6.25
"1"	26.69	32.9	"female"	0	1.69
"2"	25.59	32.8	"male"	0	0.59
"1"	5.05	10.3	"female"	0	-19.95
"2"	15.11	24.6	"male"	0	-9.89
"1"	8.02	14.5	"female"	0	-16.98
"2"	15.38	22.6	"male"	0	-9.62
"1"	42.09	31.5	"male"	0	17.09
"1"	16.26	22.2	"female"	1	-8.74
"3"	5.69	22	"male"	0	-19.31
"1"	6.31	10.5	"male"	0	-18.69
"2"	12.71	26.2	"female"	0	-12.29
"1"	31.9	28.4	"male"	0	6.9
"1"	44.35	37.4	"male"	1	19.35
"5"	19.57	27.8	"male"	0	-5.43
"1"	22.3	20.4	"female"	0	-2.7
"1"	17.57	19.7	"male"	0	-7.43
"4"	8.93	29.2	"female"	0	-16.07
"3"	34.25	37.4	"male"	0	9.25
"5"	5.05	21.8	"male"	0	-19.95
"3"	32.51	36.7	"male"	0	7.51
"2"	14.59	25.7	"male"	0	-10.41
"4"	11.16	19.7	"male"	0	-13.84
"6"	13.19	24.7	"male"	0	-11.81
"1"	12.86	18.9	"male"	0	-12.14
"2"	27.81	30.4	"female"	0	2.81
"1"	30.38	27.1	"female"	0	5.38
"3"	11.62	23.8	"female"	0	-13.38
"2"	34.08	38.1	"male"	0	9.08
"1"	15.51	16.2	"male"	0	-9.49
"5"	46.77	46.2	"male"	0	21.77
"7"	16.52	25.9	"male"	0	-8.48
"3"	15.61	26	"male"	1	-9.39
"2"	24.8	30.3	"male"	0	-0.199999999999999
"1"	33.56	32.3	"female"	0	8.56
"2"	22.87	28.1	"female"	0	-2.13
"3"	23.53	30.2	"male"	0	-1.47
"1"	31.38	26.5	"male"	0	6.38
"5"	32	38.3	"male"	0	7
"3"	5.32	16.9	"female"	0	-19.68
"4"	45.96	40.6	"female"	0	20.96
"1"	6.64	10.5	"male"	0	-18.36
"10"	39.44	32.4	"male"	0	14.44
"2"	35.37	41	"female"	0	10.37
"1"	49.51	38.8	"male"	0	24.51
"2"	31.29	34.5	"male"	0	6.29
"1"	10.91	19.9	"female"	0	-14.09
"1"	14.59	14.6	"male"	0	-10.41
"1"	39.86	31.6	"female"	0	14.86
"3"	33.98	39.3	"female"	0	8.98
"5"	26.04	32.5	"male"	0	1.04
"1"	24.94	21.2	"male"	0	-0.0599999999999987
"1"	9.61	19.1	"male"	0	-15.39
"1"	5.28	8.6	"male"	0	-19.72
"3"	15.57	27.8	"female"	0	-9.43
"5"	19.47	28	"female"	0	-5.53
"1"	32.41	25.5	"female"	0	7.41
"4"	37.77	43.8	"female"	0	12.77
"3"	10.56	22.3	"female"	0	-14.44
"2"	38.47	43.7	"male"	0	13.47
"1"	40.77	40.6	"female"	0	15.77
"6"	15.55	33.3	"male"	0	-9.45
"1"	22.23	22.4	"female"	0	-2.77
"2"	40.78	33.8	"female"	0	15.78
"1"	8.68	17	"female"	0	-16.32
"4"	26.81	31.7	"female"	0	1.81
"2"	5.91	14.7	"male"	0	-19.09
"2"	39.29	36.3	"male"	0	14.29
"1"	37.44	33.6	"female"	1	12.44
"1"	33.76	28.5	"male"	1	8.76
"5"	29.75	35.3	"female"	0	4.75
"4"	27.68	41.1	"male"	0	2.68
"1"	14.32	14.1	"female"	0	-10.68
"2"	33.63	36.2	"female"	0	8.63
"5"	23.36	37.1	"male"	0	-1.64
"5"	15.36	26.5	"male"	0	-9.64
"1"	46.95	36.4	"female"	0	21.95
"2"	18.31	31.3	"male"	0	-6.69
"4"	35.15	40.6	"male"	0	10.15
"1"	45.69	37.9	"male"	0	20.69
"7"	43.95	39.4	"male"	0	18.95
"4"	48.51	50.5	"male"	0	23.51
"1"	19.62	17.1	"female"	0	-5.38
"2"	44.26	41.1	"female"	0	19.26
"1"	43.46	33.4	"female"	0	18.46
"1"	48.15	38.3	"female"	0	23.15
"2"	47.89	40.7	"female"	0	22.89
"1"	43.97	35.8	"female"	0	18.97
"3"	14.87	27.8	"female"	0	-10.13
"7"	48.25	43.5	"female"	0	23.25
"4"	45.95	47.3	"male"	0	20.95
"5"	18.93	28.5	"male"	0	-6.07
"1"	11.32	16.2	"male"	0	-13.68
"1"	43.21	32	"male"	0	18.21
"2"	29.43	31.5	"female"	0	4.43
"5"	32.38	39.6	"female"	0	7.38
"2"	6.41	20.6	"male"	0	-18.59
"4"	29.48	35.5	"male"	0	4.48
"2"	25.44	27.6	"female"	0	0.440000000000001
"2"	39.22	34	"male"	0	14.22
"6"	40.8	46.7	"male"	0	15.8
"1"	10.01	11	"male"	0	-14.99
"1"	30.38	28.4	"female"	0	5.38
"5"	44.83	40.6	"male"	0	19.83
"1"	21.15	20.3	"male"	0	-3.85
"3"	24.16	30	"female"	0	-0.84
"4"	24.83	29.8	"female"	0	-0.170000000000002
"1"	25.64	20	"female"	0	0.640000000000001
"4"	17.77	35.3	"female"	0	-7.23
"5"	31.54	40	"female"	0	6.54
"3"	40.21	41	"female"	0	15.21
"1"	23.7	25.1	"male"	0	-1.3
"5"	23.53	33.4	"male"	0	-1.47
"1"	49.84	39.2	"male"	0	24.84
"4"	44.55	49.4	"female"	0	19.55
"2"	13	27.4	"male"	0	-12
"2"	47.66	46.1	"male"	0	22.66
"1"	35.71	30.8	"female"	0	10.71
"2"	31.76	41.9	"male"	0	6.76
"1"	42.95	31.4	"female"	0	17.95
"2"	32.28	34.5	"female"	0	7.28
"1"	35.88	27.1	"male"	0	10.88
"4"	16.21	31.3	"male"	0	-8.79
"2"	11.86	27.8	"male"	0	-13.14
"2"	35.48	39.3	"male"	0	10.48
"5"	34.63	38	"male"	0	9.63
"3"	16.13	24.3	"female"	0	-8.87
"6"	25.39	32.8	"female"	0	0.390000000000001
"7"	7.33	19.1	"male"	0	-17.67
"3"	14.17	23.3	"male"	0	-10.83
"3"	20.18	30.4	"female"	0	-4.82
"5"	44.24	46.6	"female"	0	19.24
"5"	19.6	25.4	"male"	0	-5.4
"1"	9.41	14.7	"female"	0	-15.59
"1"	46.05	34.7	"male"	0	21.05
"1"	39.52	26.8	"male"	0	14.52
"2"	33.13	34.5	"female"	0	8.13
"2"	18.79	30.1	"female"	0	-6.21
"5"	43.01	47.9	"female"	0	18.01
"1"	14.55	13.4	"male"	0	-10.45
"2"	42.14	41	"male"	0	17.14
"1"	35.41	26	"male"	0	10.41
"3"	15.41	27.4	"female"	0	-9.59
"1"	9.95	10.6	"male"	0	-15.05
"4"	12.37	28.9	"female"	0	-12.63
"1"	21.49	20.9	"male"	0	-3.51
"1"	25.09	22.9	"female"	0	0.0899999999999999
"7"	39.94	36.6	"male"	0	14.94
"2"	32.03	38.2	"female"	0	7.03
"8"	12.34	20.5	"male"	0	-12.66
"1"	10.02	14.3	"female"	0	-14.98
"5"	5.93	18.9	"female"	0	-19.07
"7"	34.6	34.9	"female"	0	9.6
"3"	48.94	46.4	"male"	0	23.94
"2"	10.58	28.3	"female"	0	-14.42
"1"	25.79	26.2	"female"	0	0.789999999999999
"3"	43.19	42.9	"female"	0	18.19
"1"	42.66	32.7	"female"	0	17.66
"4"	5.8	24.3	"female"	0	-19.2
"2"	10.47	22.8	"female"	0	-14.53
"1"	12.39	17.9	"male"	1	-12.61
"1"	20.37	23	"female"	0	-4.63
"1"	21.97	19.8	"male"	0	-3.03
"1"	23.25	21.9	"female"	0	-1.75
"6"	25.87	32	"female"	0	0.870000000000001
"6"	9.77	25.3	"male"	0	-15.23
"2"	42.48	41.4	"male"	0	17.48
"3"	8.93	18.7	"male"	0	-16.07
"6"	15.08	30.9	"male"	0	-9.92
"2"	19.37	24.5	"male"	0	-5.63
"2"	15.8	23.7	"male"	0	-9.2
